novoteste;novoteste;novoteste;novoteste;novoteste;novoteste
TEMPO;EXATA;0.1;0.01;0.001;0.0001
0.0; 0j; 0; 0; 0; 0
0.25; (0.9999999999861121+0j); 0.46325878594249204; 0.8751182592242195; 0.9844886671075572; 0.9984050955543627
0.5; (1+0j); 0.5910543130990416; 0.9697256385998106; 0.9995190284374437; 0.9999949125855002
0.75; (0.9999999999861121+0j); 0.463258785942492; 0.8751182592242195; 0.9844886671075572; 0.9984050955543627
1.0; (-4.218847493575595e-15+0j); 0; 0; 0; 0
novoteste;novoteste;novoteste;novoteste;novoteste;novoteste
TEMPO;EXATA;0.1;0.01;0.001;0.0001
0.0; 0j; 0; 0; 0; 0
0.0625; (0.9980695458637723+0j); 0.1628635276032647; 0.4594248305459877; 0.8255342568363333; 0.975632419385449
0.125; (0.999996273346828+0j); 0.29302641175353195; 0.7076874855240017; 0.9695617044395936; 0.9994062210149933
0.1875; (0.9999999928058669+0j); 0.3955731401129215; 0.841765564534829; 0.9946895600100165; 0.9999855310427156
0.25; (0.9999999999861121+0j); 0.474509444257972; 0.9140333171920738; 0.9990735093695668; 0.999999647426517
0.3125; (0.9999999999999732+0j); 0.5329187735693495; 0.9527203343774725; 0.9998383547039873; 0.9999999914086373
0.375; (1+0j); 0.5730827424732797; 0.9729387321790712; 0.9999717731008583; 0.9999999997906492
0.4375; (1+0j); 0.5965702560050725; 0.9825863222381195; 0.9999949301729574; 0.9999999999948959
0.5; (1+0j); 0.6042987951620635; 0.9854316944214334; 0.9999982832331707; 0.9999999999997515
0.5625; (1+0j); 0.5965702560050726; 0.9825863222381196; 0.9999949301729574; 0.9999999999948957
0.625; (1+0j); 0.5730827424732798; 0.9729387321790711; 0.9999717731008583; 0.9999999997906495
0.6875; (0.9999999999999732+0j); 0.5329187735693496; 0.9527203343774724; 0.9998383547039873; 0.9999999914086374
0.75; (0.9999999999861121+0j); 0.47450944425797204; 0.9140333171920738; 0.9990735093695666; 0.9999996474265171
0.8125; (0.9999999928058669+0j); 0.3955731401129215; 0.8417655645348289; 0.9946895600100165; 0.9999855310427158
0.875; (0.999996273346828+0j); 0.29302641175353195; 0.7076874855240015; 0.9695617044395934; 0.9994062210149934
0.9375; (0.9980695458637723+0j); 0.1628635276032647; 0.45942483054598754; 0.8255342568363332; 0.975632419385449
1.0; (-4.218847493575595e-15+0j); 0; 0; 0; 0
novoteste;novoteste;novoteste;novoteste;novoteste;novoteste
TEMPO;EXATA;0.1;0.01;0.001;0.0001
0.0; 0j; 0; 0; 0; 0
0.015625; (0.7903886128489022+0j); 0.04418934884171766; 0.14450470537395446; 0.3868911656040127; 0.7621035648678665
0.03125; (0.9560630663765926+0j); 0.08604517558588091; 0.2681232951564527; 0.6240975571855677; 0.9434052861514228
0.046875; (0.9907903183960318+0j); 0.12566966730950188; 0.37387380132460657; 0.7695308914393804; 0.9865363193281004
0.0625; (0.9980695458637723+0j); 0.16315956349432767; 0.4643380233454119; 0.8586973534860106; 0.9967970383643977
0.078125; (0.9995953548306737+0j); 0.19860639220721577; 0.5417245603892986; 0.9133660990985614; 0.9992380268450253
0.09375; (0.9999151817647536+0j); 0.23209669355732848; 0.6079227322083147; 0.946883989998847; 0.9998187293027654
0.109375; (0.9999822211320543+0j); 0.2637122309756964; 0.6645487051066354; 0.9674341050199448; 0.9999568763473341
0.125; (0.999996273346828+0j); 0.2935301908329699; 0.7129849491257235; 0.9800335620869275; 0.9999897410367611
0.140625; (0.9999992188510591+0j); 0.32162337088270665; 0.7544139897543263; 0.987758400522789; 0.9999975594292174
0.15625; (0.999999836262287+0j); 0.3480603579902625; 0.7898472781796655; 0.9924945672112845; 0.9999994193969112
0.171875; (0.9999999656787109+0j); 0.372905695581193; 0.8201498849199379; 0.9953983528478476; 0.999999861876595
0.1875; (0.9999999928058669+0j); 0.39622004121797605; 0.8460616197100134; 0.9971786894726549; 0.9999999671409343
0.203125; (0.9999999984920278+0j); 0.41806031468976396; 0.8682150932625403; 0.9982702295819972; 0.9999999921829454
0.21875; (0.9999999996839118+0j); 0.4384798369767124; 0.8871511618654222; 0.9989394624603818; 0.9999999981403507
0.234375; (0.9999999999337443+0j); 0.45752846042815476; 0.9033321318810341; 0.999349775041008; 0.9999999995575961
0.25; (0.9999999999861121+0j); 0.47525269047243934; 0.9171530465226478; 0.9996013412937554; 0.9999999998947537
0.265625; (0.9999999999970889+0j); 0.4916957991555726; 0.9289513304641309; 0.9997555787607987; 0.9999999999749623
0.28125; (0.9999999999993898+0j); 0.506897930785863; 0.9390150277470235; 0.9998501430737399; 0.9999999999940437
0.296875; (0.9999999999998721+0j); 0.520896199942486; 0.9475898341057712; 0.9999081212230436; 0.999999999998583
